log_density
-10846.8329589412
-10871.1676360869
-10856.2818912505
-10724.2691010205
-10799.0695054886
-10778.8520829681
-10852.5924919627
-10801.8919285986
-10868.2941761327
-10860.2736254517
-10862.3979302652
-10805.8461597532
-10874.9557992673
-10854.1825798299
-10833.1496591956
-10842.893594269
-10824.2722392625
-10797.9881872012
-10825.3425728127
-10799.5946601113
-10782.1536654766
-10760.9148310431
-10760.7734513699
-10863.887480784
-10805.5812443079
-10802.5881434582
-10755.3788924881
-10790.6506335215
-10858.547444089
-10816.6888007941
-10848.0489930815
-10818.9334361875
-10800.2109400382
-10790.1161088602
-10800.3990244899
-10907.8722101036
-10891.7714605305
-10824.8974809097
-10759.1269210644
-10842.7401541586
-10705.3413124624
-10801.5082437848
-10763.06854326
-10877.9163670483
-10913.019732239
-10792.9281563796
-10758.4849116874
-10775.7183482661
-10866.6577208006
-10762.5908617401
-10782.9439478827
-10920.6021364783
-10753.6742135402
-10787.0841809692
-10861.1473232135
-10821.7590676028
-10717.8719031701
-10778.822967179
-10802.8819820289
-10909.7787980065
-10839.2086800185
-10900.7872533507
-10879.6000853148
-10776.0814501611
-10699.5501956369
-10860.7929056852
-10796.0571645085
-10784.7039997831
-10747.5089109131
-10800.8965244097
-10800.6784660376
-10793.5457209393
-10758.503035512
-10762.121988473
-10793.9570290978
-10882.9330741404
-10830.9366017579
-10837.1376374282
