sampling_method,dc_n_particles,estimate
STD,100000,-3813.4456518959
STD,100,-3884.16768770552
DC,100,-3858.84091071899
DC,1000,-3814.86503685923
DC,100,-3850.8185615027
DC,10000,-3815.58427482819
STD,100,-3875.39547511609
STD,1000,-3819.34691493763
DC,100,-3845.55545267948
DC,1000,-3814.54005151208
DC,1000,-3814.14861229398
STD,100,-3874.19410614858
STD,10000,-3820.17998196591
STD,1000,-3828.01252063573
DC,10000,-3814.08971350436
DC,10,-4024.85324610095
STD,100,-3876.59679846087
DC,10,-3996.20737442771
STD,10000,-3818.11744787785
STD,100,-3897.05720203383
DC,1000,-3824.63486165047
STD,10000,-3811.74881716223
DC,1000,-3823.62795666435
DC,10,-4023.36012205006
STD,1000,-3824.56643477419
STD,100,-3881.14934083645
STD,10,-4067.75458550007
STD,100000,-3814.91981062819
STD,10,-4023.41440501523
DC,10000,-3813.38107687046
DC,100000,-3810.07009687775
DC,10,-3986.48119320126
STD,100,-3870.44588749291
STD,1000,-3832.67279320637
DC,100,-3848.69498134069
DC,10,-4003.24499056315
STD,10000,-3817.21190178138
STD,10000,-3814.55168149811
STD,1000,-3832.31263873331
STD,100000,-3813.98512259749
DC,1000,-3822.64252662826
STD,10000,-3813.94876404134
STD,1000,-3828.70616930233
STD,10000,-3817.45124413342
STD,1000,-3827.61051695556
DC,1000,-3823.24290479782
STD,1000,-3832.84850870033
STD,100,-3882.52027987658
DC,10,-3969.81108674985
DC,1000,-3810.89189787828
DC,1000,-3820.68421755828
STD,10000,-3814.0157270382
DC,100,-3852.67016130623
STD,10,-4024.9008044598
DC,100,-3848.36117845149
DC,10,-3999.29848366064
DC,10,-3998.65093178083
DC,10000,-3813.57067316198
STD,10000,-3817.99673695639
DC,100,-3841.79668797732
STD,1000,-3829.7845847795
STD,10000,-3818.44498467161
DC,100,-3837.71740265314
DC,10,-4024.85329715703
STD,100,-3864.11471648076
DC,100,-3857.67077559168
STD,100,-3875.26286680341
STD,1000,-3829.26680714259
DC,100,-3849.41699769445
STD,100000,-3813.96655561569
STD,10000,-3821.26955270405
DC,10,-3967.44561480796
DC,10,-3981.73878925139
STD,100000,-3815.10870757238
STD,1000,-3831.23571454836
DC,10,-3980.411984246
DC,1000,-3816.84175971911
DC,10,-3990.9519657392
DC,100,-3853.05589447519
STD,10,-4019.70843699059
DC,1000,-3818.93077060338
STD,100,-3884.70615381909
DC,100,-3847.72038435529
STD,100,-3867.85275485125
STD,10000,-3818.80929428584
DC,1000,-3819.3392159164
STD,1000,-3836.39443759906
DC,10000,-3812.07488871153
STD,1000,-3829.75833137883
